yyyymm,CDS_01,CDS_02,CDS_03,CDS_04,CDS_05,CDS_06,CDS_07,CDS_08,CDS_09,CDS_10,CDS_11,CDS_12,CDS_13,CDS_14,CDS_15,CDS_16,CDS_17,CDS_18,CDS_19,CDS_20
201110,0.0013,0.0029,0.0016,0.0012,0.0036,0.005,0.0055,0.0061,0.0055,0.005,0.0102,0.0095,0.0088,0.0139,0.0168,0.0145,0.0214,0.0304,0.0287,0.0484
201111,-0.002,-0.0006,-0.0004,-0.001,-0.0027,-0.0027,-0.0019,-0.0044,-0.0026,-0.0028,-0.0035,-0.0037,-0.0055,-0.0071,-0.004,-0.0052,-0.0108,-0.0083,-0.0147,-0.0133
201112,0.002,0.0017,0.0023,0.0016,0.0019,0.0035,0.003,0.001,0.0018,0.003,0.0021,0.0034,0.0059,0.0016,0.0044,0.0067,0.0036,0.0063,0.0051,0.0093
201201,0.0029,0.0011,0.0032,0.0035,0.0043,0.0048,0.0051,0.0061,0.0068,0.0084,0.0077,0.0105,0.008,0.0109,0.0081,0.0138,0.0181,0.0107,0.0265,0.0172
201202,0.001,0.0013,0.0017,0.0017,0.0018,0.0022,0.0028,0.0047,0.0011,0.0041,0.0036,0.004,0.0036,0.0061,0.0076,0.0071,0.0058,0.0092,0.0081,0.0226
201203,0.0009,0.0007,0.0012,0.0017,0.0026,0.0031,0.0024,0.0023,0.0026,0.0004,0.0043,0.0035,0.0016,0.0024,0.0034,0.0026,0.0073,0.0064,0.002,0.0049
201204,-0.0003,-0.0005,-0.0009,-0.0011,-0.0011,-0.0001,-0.0005,-0.0018,-0.0004,-0.0015,-0.0001,-0.0017,-0.002,-0.0008,0.0003,-0.0015,-0.0019,-0.0049,0.0013,-0.0024
201205,-0.003,-0.0028,-0.0024,-0.005,-0.0025,-0.0031,-0.0051,-0.0069,-0.0051,-0.0048,-0.0042,-0.0084,-0.0056,-0.0081,-0.0073,-0.0043,-0.0059,-0.0051,-0.0176,-0.0132
201206,0.0009,0.001,0.0004,0.0003,0.0015,0.0005,0.0011,0.0001,0.0002,-0.0013,0.0011,-0.0003,0.0016,0.0032,0.0033,-0.0004,0.0023,0.0031,0.0049,0.0143
201207,0.0014,0.0017,0.0012,0.0018,0.0014,0.0019,0.0031,0.0032,0.0017,0.004,0.0031,0.0008,0.0044,0.0022,0.0024,0.0007,0.0083,0.0089,0.0053,0.0014
201208,0.0005,0.0009,0.0013,0.0011,0.0022,0.0022,0.0024,0.0017,0.0015,0.0026,0.0031,0.0015,0.0035,0.0032,0.0043,0.0062,0.0084,0.006,0.0051,0.0152
201209,0.0012,0.001,0.002,0.0022,0.003,0.0023,0.003,0.0033,0.0039,0.0045,0.0049,0.0059,0.0057,0.0087,0.007,0.0083,0.0092,0.012,0.0119,0.0174
201210,0.001,0.0009,0.0009,0.0016,0.0018,0.0019,0.0014,0.001,0.0019,0.001,0.0008,0.0028,0.0043,0.0042,0.0013,0.0045,0.0033,0.0028,-0.001,0.0045
201211,-0.0006,-0.0007,-0.0009,-0.0007,-0.001,-0.001,-0.0009,-0.0016,-0.0016,0.0007,-0.0037,-0.0005,-0.0012,0.0005,0.0015,-0.0002,0.0026,0.0027,0.0107,0.0015
201212,0.0008,0.0009,0.0008,0.0011,0.0018,0.0016,0.0028,0.0026,0.0014,0.003,0.0027,0.0025,0.0028,0.0027,0.0036,0.0029,0.0019,0.0068,0.0068,0.0101
